bin,bin_left,bin_right,n,avg_pred,emp_rate,abs_gap
0,0.0,0.1,3,0.09131935828039695,0.3333333333333333,0.24201397505293637
1,0.1,0.2,120,0.16359929304689244,0.1,0.06359929304689244
2,0.2,0.30000000000000004,173,0.2536633308514976,0.2138728323699422,0.039790498481555414
3,0.30000000000000004,0.4,168,0.34920249921709495,0.34523809523809523,0.00396440397899972
4,0.4,0.5,178,0.4462676468276885,0.48314606741573035,0.03687842058804186
5,0.5,0.6000000000000001,150,0.5470758523301879,0.52,0.027075852330187833
6,0.6000000000000001,0.7000000000000001,145,0.6472818092404654,0.7379310344827587,0.09064922524229324
7,0.7000000000000001,0.8,199,0.7531749149282355,0.7839195979899497,0.030744683061714184
8,0.8,0.9,119,0.8371644095543019,0.8907563025210085,0.05359189296670652
9,0.9,1.0,5,0.9106109054828846,1.0,0.08938909451711541
