log_loss,brier,ece,auc,accuracy,calibration_intercept,calibration_slope,favorite_hit_rate,realized_upset_rate,Season,Games,Calibrator
0.5820473431992901,0.19879780618639026,0.0714169045192461,0.7678931451612904,0.6825396825396826,0.010124171637536513,1.5230372439410291,0.6825396825396826,0.31746031746031744,2015,126,none
0.56886896755923,0.1921831112497093,0.07257086293818818,0.7898073022312373,0.746031746031746,-0.42620501859152643,1.2667138371047515,0.746031746031746,0.25396825396825395,2016,126,none
0.5831113844319,0.19820354574520174,0.11013352512392274,0.7667973856209149,0.6984126984126984,0.40841978509109056,1.1014811477112005,0.6984126984126984,0.30158730158730157,2017,126,identity
0.5493998527296436,0.18384750771722594,0.09861267992140926,0.8041834677419355,0.7222222222222222,0.016474661147556035,1.4797413400951644,0.7222222222222222,0.2777777777777778,2018,126,identity
0.5564729103165018,0.188707896957252,0.08874213184500579,0.7881462799495585,0.6746031746031746,-0.07441556754335915,1.1670958332842538,0.6746031746031746,0.3253968253968254,2019,126,identity
0.560408960479898,0.19124626913749662,0.10304717809438178,0.7788461538461539,0.6984126984126984,-0.24434942951048938,1.1182160624033397,0.6984126984126984,0.30158730158730157,2021,126,identity
0.5527269267866888,0.1846412825418685,0.08034875682171493,0.7981744421906694,0.7301587301587301,0.11812787559171001,1.2917921798104708,0.7301587301587301,0.2698412698412698,2022,126,identity
0.5210726533226586,0.17022901543962726,0.0930306695902865,0.8428680396643784,0.753968253968254,0.3627831364787997,1.6393897063513168,0.753968253968254,0.24603174603174602,2023,126,identity
0.5529787549403196,0.18608271163373566,0.0860969704534965,0.809077079107505,0.7222222222222222,0.3806325557847231,1.3122804242178325,0.7222222222222222,0.2777777777777778,2024,126,identity
0.5432959128258967,0.18343976231750578,0.13659740060879053,0.8128004047558816,0.7142857142857143,0.09332249457059731,0.9467743161092226,0.7142857142857143,0.2857142857142857,2025,126,platt
